customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00047,Male,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,68.87,3974.6,No
CUST-00048,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,117.75,1396.23,No
CUST-00049,Female,0,No,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,69.9,4732.37,No
CUST-00050,Male,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.63,410.25,No
CUST-00051,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,85.74,6178.7,No
CUST-00052,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,90.32,5880.95,No
CUST-00053,Female,1,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.92,2373.79,No
CUST-00054,Male,0,No,Yes,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.92,1493.92,No
CUST-00055,Female,0,No,No,28,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.06,1199.18,No
CUST-00056,Female,0,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),69.59,4236.91,No
CUST-00057,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.59,504.83,No
CUST-00058,Male,0,No,No,42,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.75,2422.21,No
CUST-00059,Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,89.31,4643.38,No
CUST-00060,Male,0,Yes,Yes,23,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.83,1502.57,No
CUST-00061,Male,0,Yes,No,24,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,63.56,1524.11,No
CUST-00062,Male,0,No,No,7,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),78.08,535.8,No
CUST-00063,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,143.32,Yes
CUST-00064,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),40.98,2881.2,No
CUST-00065,Female,0,No,No,58,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Electronic check,49.11,2952.32,No
CUST-00066,Female,0,No,No,0,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,78.87,18.0,No
CUST-00067,Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),99.33,6882.92,No
CUST-00068,Female,1,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.9,18.0,No
CUST-00069,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.4,360.21,Yes
CUST-00070,Female,0,No,Yes,2,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,54.99,110.47,Yes
CUST-00071,Female,0,No,No,72,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,55.91,4077.06,No
CUST-00072,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,101.09,7415.05,No
CUST-00073,Female,1,No,No,30,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),61.79,1927.6,No
CUST-00074,Male,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.44,309.96,Yes
CUST-00075,Female,1,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,35.65,760.1,No
CUST-00076,Female,1,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,94.79,4364.92,No
CUST-00077,Female,0,No,No,8,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,51.12,403.61,No
CUST-00078,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.96,409.18,No
CUST-00079,Female,0,No,No,42,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),72.13,2960.79,No
CUST-00080,Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),92.98,1403.64,No
CUST-00081,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,92.37,95.94,Yes
CUST-00082,Male,1,Yes,Yes,22,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),77.35,1666.79,No
CUST-00083,Female,0,Yes,Yes,42,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.19,3791.38,No
CUST-00084,Male,0,No,Yes,72,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,40.81,2915.15,No
CUST-00085,Male,1,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,18.69,No
CUST-00086,Female,0,Yes,No,24,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,82.3,2103.91,No
CUST-00087,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,66.07,1287.07,No
CUST-00088,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.02,147.2,No
CUST-00089,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,534.71,No
CUST-00090,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,85.69,406.89,No
CUST-00091,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,60.47,631.74,Yes
CUST-00092,Female,1,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.33,873.14,Yes
CUST-00093,Female,1,Yes,No,19,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.31,1061.11,No
CUST-00094,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,82.65,6350.65,No
CUST-00095,Female,0,No,No,15,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),65.74,1045.61,No
CUST-00096,Female,0,No,No,19,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),68.03,1243.2,No
CUST-00097,Female,0,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,48.83,545.85,No
CUST-00098,Female,1,No,Yes,8,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.41,695.25,No
CUST-00099,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.62,1507.36,No
CUST-00100,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.67,3292.23,Yes
CUST-00101,Female,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,53.27,681.5,No
CUST-00102,Female,0,Yes,Yes,38,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),111.88,4145.97,No
CUST-00103,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),49.66,3511.02,Yes
CUST-00104,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,55.1,111.18,No
CUST-00105,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,61.47,537.88,Yes
CUST-00106,Female,0,Yes,No,7,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,73.11,485.61,Yes
CUST-00107,Female,0,No,No,65,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,81.67,5653.95,No
CUST-00108,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,65.25,442.26,No
CUST-00109,Male,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.41,1027.74,Yes
CUST-00110,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.6,551.13,No
CUST-00111,Male,0,Yes,Yes,31,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.46,1722.07,No
CUST-00112,Female,0,No,Yes,52,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,81.24,4290.51,Yes
CUST-00113,Female,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.23,469.71,No
CUST-00114,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,441.22,No
CUST-00115,Female,1,No,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,47.21,3535.44,Yes
CUST-00116,Male,1,Yes,Yes,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),54.21,573.5,Yes
CUST-00117,Female,0,Yes,No,9,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,53.32,486.78,No
CUST-00118,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),85.48,3149.82,No
CUST-00119,Male,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.76,1160.65,No
CUST-00120,Female,0,Yes,No,17,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,44.37,762.7,No
CUST-00121,Male,0,Yes,Yes,7,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.58,473.34,Yes
CUST-00122,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.14,1137.53,No
CUST-00123,Male,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.37,2984.39,Yes
CUST-00124,Male,0,Yes,Yes,66,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,60.18,3995.07,No
CUST-00125,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.04,1105.06,No
CUST-00126,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,59.71,401.11,No
CUST-00127,Male,0,Yes,No,57,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.98,3068.27,No
CUST-00128,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.49,439.86,No
CUST-00129,Female,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.55,1801.12,No
CUST-00130,Female,0,No,No,47,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,70.66,3647.86,No
CUST-00131,Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,61.59,1737.2,No
CUST-00132,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,60.31,2034.91,No
CUST-00133,Male,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.66,65.26,Yes
CUST-00134,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),70.42,67.21,Yes
CUST-00135,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),52.08,592.31,Yes
CUST-00136,Male,0,Yes,Yes,55,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),61.74,3303.64,No
CUST-00137,Male,0,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.21,532.25,No
CUST-00138,Male,0,Yes,No,8,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,62.68,521.85,No
CUST-00139,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),62.98,3404.55,No
CUST-00140,Female,0,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.38,657.85,No
CUST-00141,Male,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.96,1101.39,Yes
CUST-00142,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.36,2110.69,Yes
CUST-00143,Female,1,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,65.11,1401.42,No
CUST-00144,Female,1,Yes,No,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),57.55,574.32,No
CUST-00145,Male,1,No,No,72,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,72.83,5593.58,No
CUST-00146,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),74.64,157.6,Yes
CUST-00147,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,75.76,No
CUST-00148,Male,0,Yes,No,32,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),68.37,2189.7,No
CUST-00149,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,120.0,7085.06,No
CUST-00150,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),65.99,204.99,No
CUST-00151,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.48,4423.94,Yes
CUST-00152,Male,1,No,No,43,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,45.53,1858.67,Yes
CUST-00153,Male,0,No,No,27,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,61.34,1634.03,Yes
CUST-00154,Male,1,Yes,No,21,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),33.11,714.32,No
CUST-00155,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),85.56,951.67,No
CUST-00156,Male,0,Yes,No,13,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.91,855.04,No
CUST-00157,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.94,744.75,No
CUST-00158,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,33.4,No
CUST-00159,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,29.16,836.45,No
CUST-00160,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,168.86,Yes
CUST-00161,Male,0,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.57,472.38,No
CUST-00162,Female,0,No,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,63.57,1527.29,No
CUST-00163,Female,1,No,Yes,69,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.98,4956.63,No
CUST-00164,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,58.1,1588.7,No
CUST-00165,Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,93.11,788.85,No
CUST-00166,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,36.42,No
CUST-00167,Male,0,No,No,31,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),42.86,1276.16,No
CUST-00168,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),90.01,2307.56,Yes
CUST-00169,Female,0,No,Yes,35,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,83.8,3098.7,No
CUST-00170,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.24,432.59,Yes
CUST-00171,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,78.19,4240.56,No
CUST-00172,Male,0,No,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),56.73,4179.01,No
CUST-00173,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,96.44,92.63,No
CUST-00174,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.43,980.3,No
CUST-00175,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.54,20.7,No
CUST-00176,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,319.16,No
